iter	Passed	Remaining
0	1	129
1	2	111
2	3	102
3	4	97
4	4	94
5	5	92
6	6	88
7	7	85
8	8	84
9	9	83
10	10	84
11	11	83
12	12	82
13	13	80
14	14	80
15	15	79
16	16	78
17	16	76
18	17	75
19	18	74
20	19	73
21	20	71
22	20	70
23	21	68
24	22	68
25	23	66
26	24	65
27	25	64
28	25	63
29	27	63
30	28	62
31	29	61
32	30	61
33	31	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	38	52
42	39	51
43	39	50
44	40	49
45	41	48
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	81	9
90	82	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	86	2
97	87	1
98	88	0
99	89	0
